Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,PR,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
10-1986,110.9,90.85,98.42,99.12,61.24,98.03,86.83,66.34,71.6,87.9,90.14,82.9,47.7,85.62,88.19,73.9,83.26,95.91,83.26,107.73,95.14,70.35,80.77,75.45,87.35,90.49,97.86,96.52,86.77,96.75,91.04,100.83,84.8,97.56,82.14,84.09,79.73,108.91,71.91,72.29,72.19,82.9,85.5,90.22,90.55,108.02,96.01,75.41,82.9,73.25,63.69,81.53,92.99,101.86
11-1986,110.09,91.36,99.08,98.37,61.73,97.77,88.68,67.2,72.41,87.9,90.65,83.3,48.01,85.44,88.25,74.51,83.57,96.07,84,107.39,96.67,70.95,82.11,75.95,87.05,90.99,98.09,96.79,87.09,95.58,91.41,102.86,86.16,97.76,82.03,85.32,80.03,108.43,71.23,73.08,74.47,83.3,85.93,91.01,90.92,107.22,95.92,75.79,83.3,74.21,63.93,81.62,94.09,99.87
12-1986,109.44,91.88,99.24,99.87,62.27,98.43,90.36,68.13,73.38,88.06,91.14,83.9,48.59,86,88.65,74.88,84.03,96.25,84.31,107.43,97.75,71.66,83.13,76.58,87.85,91.34,98.49,95.06,87.71,97.5,91.56,103.44,87.79,98.32,82.79,86.44,80.56,108.58,72,73.83,76.22,83.9,86.55,92.27,91.78,107.63,96.42,76.36,83.9,75.01,64.14,81.84,93.48,101.54
01-1987,108.79,92.4,99.39,101.36,62.82,99.09,92.04,69.07,74.36,88.22,91.64,84.5,49.18,86.56,89.05,75.25,84.49,96.43,84.61,107.47,98.82,72.36,84.15,77.21,88.64,91.69,98.89,93.32,88.33,99.41,91.71,104.01,89.41,98.87,83.55,87.56,81.08,108.72,72.77,74.59,77.97,84.5,87.17,93.54,92.64,108.04,96.92,76.93,84.5,75.82,64.35,82.06,92.86,103.21
02-1987,108.14,92.92,99.55,102.86,63.36,99.76,93.71,70,75.33,88.37,92.14,85.1,49.77,87.12,89.45,75.62,84.95,96.61,84.92,107.51,99.9,73.07,85.17,77.85,89.43,92.04,99.29,91.59,88.95,101.33,91.86,104.59,91.04,99.43,84.31,88.68,81.6,108.86,73.54,75.35,79.73,85.1,87.78,94.8,93.5,108.44,97.42,77.49,85.1,76.62,64.56,82.29,92.25,104.88
03-1987,105.18,93.07,100.22,102.29,63.84,99.27,95.42,70.41,75.81,88.9,92.49,85.5,50.15,86.99,88.92,76.65,85.24,97.25,85.17,107.69,100.63,73.68,86.2,78.79,89.93,92.82,99.27,92.54,89.2,99.9,91.69,106.43,92.68,99.11,84.02,89.62,82.15,107.94,73.55,76.36,81.08,85.5,88.07,93.88,94.12,107.25,97.16,78.1,85.5,77.41,64.72,82.6,93.19,102.65
04-1987,102.22,93.21,100.9,101.71,64.32,98.79,97.12,70.82,76.28,89.43,92.83,85.9,50.54,86.86,88.38,77.68,85.52,97.89,85.42,107.87,101.35,74.29,87.24,79.74,90.43,93.6,99.24,93.48,89.45,98.47,91.53,108.26,94.33,98.8,83.73,90.56,82.7,107.03,73.56,77.38,82.44,85.9,88.36,92.96,94.74,106.06,96.9,78.7,85.9,78.19,64.88,82.91,94.13,100.41
05-1987,99.26,93.36,101.57,101.14,64.8,98.31,98.83,71.23,76.76,89.96,93.17,86.4,50.92,86.72,87.84,78.72,85.81,98.53,85.67,108.05,102.08,74.9,88.27,80.69,90.93,94.37,99.21,94.43,89.69,97.04,91.36,110.1,95.97,98.48,83.45,91.5,83.25,106.12,73.57,78.39,83.8,86.4,88.65,92.04,95.36,104.87,96.65,79.31,86.4,78.98,65.03,83.23,95.08,98.17
06-1987,97.69,93.63,100.7,101.11,65.53,97.51,100.65,72.04,78,89.89,93.55,86.7,51.16,86.99,86.7,79.3,86.26,98.31,86.43,105.71,103.29,76.22,89.79,81.24,91.25,94.64,98.72,94.12,90.24,97.4,90.84,110.18,97.24,98.06,83.3,93.15,83.86,103.96,73.35,79.76,86.15,86.7,88.61,91.89,95.28,103.41,95.16,80.78,86.7,79.37,65.18,83.59,93.94,96.36
07-1987,96.11,93.9,99.83,101.09,66.25,96.72,102.46,72.84,79.23,89.83,93.92,87.1,51.39,87.25,85.55,79.88,86.71,98.09,87.18,103.37,104.5,77.55,91.32,81.79,91.58,94.9,98.22,93.81,90.79,97.76,90.32,110.26,98.51,97.65,83.16,94.8,84.47,101.81,73.13,81.12,88.5,87.1,88.57,91.74,95.2,101.94,93.68,82.25,87.1,79.75,65.33,83.95,92.81,94.55
08-1987,94.53,94.17,98.96,101.06,66.98,95.92,104.28,73.65,80.47,89.76,94.3,87.4,51.63,87.52,84.4,80.46,87.15,97.88,87.93,101.03,105.72,78.87,92.85,82.33,91.91,95.17,97.73,93.5,91.33,98.12,89.8,110.34,99.79,97.23,83.02,96.45,85.09,99.65,72.91,82.49,90.85,87.4,88.54,91.59,95.12,100.48,92.19,83.72,87.4,80.14,65.48,84.32,91.68,92.74
09-1987,89.87,93.56,97.68,100.17,67.57,95.58,105.32,74.55,81.16,90,94.35,87.5,51.87,86.21,84.38,80.8,87.08,97.6,87.82,101.41,105.86,79.03,93.98,82.78,91.49,95.31,97.48,90.97,91.51,98.03,90.11,111.21,100.46,96.9,82.81,96.68,85.28,99.1,72.61,83.43,91.86,87.5,88.62,92.26,95.67,99.38,92.15,84.22,87.5,82.02,65.58,84.66,92.03,90.86
10-1987,85.22,92.94,96.4,99.27,68.15,95.23,106.35,75.46,81.86,90.23,94.4,87.6,52.12,84.91,84.35,81.15,87.01,97.33,87.71,101.8,106,79.2,95.12,83.23,91.06,95.45,97.24,88.43,91.69,97.95,90.42,112.08,101.14,96.58,82.6,96.92,85.47,98.54,72.32,84.38,92.87,87.6,88.7,92.93,96.23,98.28,92.1,84.72,87.6,83.91,65.68,85,92.39,88.98
11-1987,80.56,92.32,95.12,98.38,68.74,94.89,107.39,76.37,82.55,90.47,94.46,87.8,52.36,83.6,84.33,81.49,86.94,97.06,87.6,102.19,106.15,79.36,96.26,83.68,90.64,95.6,96.99,85.89,91.87,97.87,90.73,112.95,101.81,96.25,82.39,97.16,85.66,97.99,72.03,85.33,93.89,87.8,88.79,93.6,96.78,97.19,92.06,85.22,87.8,85.79,65.78,85.34,92.74,87.1
12-1987,87.43,93.5,96.09,98.92,69.6,95.27,108.14,77.96,82.84,90.73,94.96,88.2,53.63,84.54,85.4,82.02,87.69,97.31,88.25,100.97,106.48,80.32,96.79,84.03,91.37,95.51,96.52,87.99,92.03,96.79,90.99,112.67,102.53,96.31,82.71,98.08,86.16,97.05,72.73,85.75,95.17,88.2,89.38,92.22,96.99,97.21,91.95,86.05,88.2,86.27,66.24,85.48,92.45,88.7
01-1988,94.3,94.68,97.06,99.47,70.45,95.65,108.89,79.56,83.12,91,95.47,88.7,54.9,85.48,86.47,82.55,88.44,97.56,88.91,99.76,106.81,81.29,97.32,84.37,92.09,95.43,96.05,90.08,92.19,95.71,91.25,112.39,103.25,96.36,83.03,99,86.67,96.11,73.44,86.17,96.46,88.7,89.97,90.83,97.2,97.23,91.84,86.88,88.7,86.74,66.71,85.61,92.15,90.3
02-1988,101.17,95.87,98.02,100.02,71.31,96.02,109.64,81.16,83.41,91.26,95.98,89.2,56.17,86.42,87.54,83.08,89.2,97.82,89.56,98.54,107.14,82.25,97.85,84.72,92.82,95.34,95.57,92.17,92.35,94.63,91.52,112.11,103.96,96.42,83.35,99.92,87.17,95.17,74.14,86.6,97.75,89.2,90.57,89.45,97.4,97.26,91.73,87.71,89.2,87.22,67.17,85.75,91.86,91.91
03-1988,97.54,96.03,98.13,100.49,72.29,95.96,110.37,82.55,84.31,92.01,96.41,89.8,57.18,86.81,87.57,84.03,89.62,98.17,89.7,98.92,107.96,83.24,98.4,85.53,93.29,95.89,96.46,91.95,92.95,95.2,91.67,112.78,105.01,96.15,83.56,100.26,87.86,95.77,74.08,87.99,98.02,89.8,91,89.57,97.55,98.09,92.24,88.79,89.8,88.49,67.46,86.23,93.07,89.25
04-1988,93.91,96.19,98.24,100.96,73.26,95.89,111.11,83.94,85.22,92.76,96.84,90.5,58.19,87.19,87.6,84.98,90.05,98.51,89.85,99.31,108.77,84.23,98.96,86.34,93.76,96.44,97.35,91.74,93.54,95.76,91.82,113.44,106.05,95.88,83.77,100.6,88.54,96.36,74.02,89.39,98.3,90.5,91.44,89.69,97.7,98.92,92.74,89.86,90.5,89.77,67.76,86.72,94.27,86.59
05-1988,90.28,96.36,98.35,101.43,74.24,95.82,111.84,85.33,86.12,93.52,97.26,91.2,59.2,87.57,87.63,85.93,90.47,98.86,89.99,99.69,109.59,85.22,99.51,87.15,94.24,96.99,98.24,91.52,94.14,96.32,91.97,114.11,107.1,95.61,83.98,100.94,89.23,96.95,73.96,90.79,98.57,91.2,91.88,89.81,97.85,99.75,93.25,90.94,91.2,91.04,68.05,87.2,95.48,83.93
06-1988,94.42,96.22,98.24,100.58,75.4,95.51,111.41,85.79,86.88,93.7,97.3,91.4,59.49,88.31,87.06,86.62,90.52,98.37,90.61,99.23,109.24,86.19,100.55,87.61,94.08,97.25,97.2,92.94,94.4,96.85,92.17,113.98,107.07,96.1,84.44,101.18,89.43,96.03,75.12,91.55,98.93,91.4,92.12,90.84,97.84,98.67,92.61,91.58,91.4,92.08,68.6,87.81,94.9,86.7
07-1988,98.57,96.08,98.13,99.73,76.57,95.19,110.99,86.25,87.64,93.88,97.34,91.7,59.78,89.06,86.48,87.3,90.57,97.88,91.22,98.77,108.89,87.16,101.59,88.08,93.92,97.52,96.16,94.35,94.65,97.38,92.37,113.85,107.05,96.6,84.9,101.42,89.64,95.1,76.28,92.31,99.29,91.7,92.36,91.88,97.84,97.58,91.96,92.22,91.7,93.11,69.15,88.42,94.33,89.48
08-1988,102.71,95.95,98.01,98.88,77.73,94.87,110.57,86.71,88.4,94.07,97.38,92,60.07,89.8,85.91,87.99,90.61,97.39,91.84,98.32,108.54,88.13,102.62,88.54,93.76,97.78,95.11,95.77,94.91,97.9,92.57,113.72,107.02,97.1,85.36,101.65,89.84,94.17,77.45,93.08,99.65,92,92.6,92.91,97.84,96.49,91.32,92.86,92,94.15,69.7,89.03,93.75,92.26
09-1988,104.09,95.62,97.79,99.28,79.23,94.64,110.74,87.5,89.31,94.31,97.27,92.2,61.61,89.45,85.62,88.16,90.99,98.16,92.05,97.77,108.97,88.74,102.84,88.73,94.03,97.7,96.34,95.13,95.06,95.74,92.45,113.62,106.92,96.43,85.57,101.75,90.12,94.61,77.37,93.28,99.89,92.2,92.61,92.22,97.72,96.26,91.4,93.49,92.2,94.39,69.83,89.04,93.62,92.16
10-1988,105.46,95.29,97.56,99.67,80.72,94.42,110.91,88.3,90.21,94.56,97.16,92.5,63.15,89.11,85.33,88.32,91.37,98.93,92.27,97.23,109.41,89.34,103.05,88.92,94.3,97.61,97.57,94.5,95.21,93.58,92.34,113.52,106.81,95.76,85.78,101.84,90.41,95.05,77.29,93.49,100.14,92.5,92.61,91.52,97.6,96.02,91.48,94.13,92.5,94.63,69.96,89.06,93.49,92.07
11-1988,106.84,94.96,97.34,100.07,82.21,94.19,111.09,89.09,91.12,94.81,97.05,92.8,64.68,88.76,85.04,88.49,91.75,99.7,92.49,96.68,109.85,89.95,103.26,89.12,94.57,97.53,98.79,93.86,95.36,91.42,92.22,113.42,106.71,95.1,85.99,101.94,90.69,95.49,77.22,93.69,100.39,92.8,92.62,90.82,97.48,95.79,91.56,94.77,92.8,94.87,70.09,89.08,93.36,91.97
12-1988,106.58,94.99,97.73,99.54,83.44,94.3,110.29,91.23,91.4,95.07,97.37,93.2,66.45,89.42,86.58,89.08,91.95,99.12,92.9,97.11,109.44,90.74,103.35,89.59,94.59,97.44,96.79,93.35,95.45,93.31,92.55,113.7,106.62,95.46,86.08,101.92,91.07,95.48,77.84,94.13,100.74,93.2,93.25,92.25,97.73,95.9,91.84,95.3,93.2,95.4,70.98,89.74,93.38,89.43
01-1989,106.33,95.02,98.13,99.01,84.67,94.42,109.5,93.37,91.69,95.33,97.69,93.5,68.22,90.08,88.12,89.67,92.15,98.53,93.31,97.53,109.03,91.52,103.44,90.06,94.6,97.35,94.78,92.83,95.53,95.2,92.89,113.98,106.53,95.83,86.16,101.9,91.45,95.48,78.47,94.57,101.1,93.5,93.88,93.68,97.98,96.02,92.11,95.83,93.5,95.93,71.87,90.4,93.4,86.89
02-1989,106.07,95.05,98.52,98.48,85.9,94.53,108.71,95.51,91.97,95.59,98.01,93.9,69.99,90.74,89.66,90.26,92.34,97.95,93.72,97.95,108.62,92.31,103.52,90.53,94.62,97.26,92.77,92.31,95.61,97.1,93.22,114.26,106.44,96.19,86.24,101.88,91.83,95.47,79.09,95.02,101.45,93.9,94.52,95.12,98.23,96.14,92.39,96.36,93.9,96.45,72.76,91.06,93.43,84.35
03-1989,97.45,95.45,98.23,98.35,87.28,94.69,108.82,95.41,93.05,95.75,98.04,94.3,70.25,90.99,89.29,90.84,92.76,98.79,93.87,97.75,108.26,93.11,103.92,91.16,95.13,97.71,94.34,92.71,95.72,96.55,93.48,113.37,106.36,96.21,86.71,101.74,92.07,96.08,79.71,95.14,101.5,94.3,94.34,93.39,98.44,96.32,92.27,97.13,94.3,97.47,73.81,91.31,95.01,87.75
04-1989,88.83,95.84,97.93,98.23,88.66,94.84,108.94,95.31,94.13,95.92,98.08,94.7,70.5,91.24,88.91,91.42,93.17,99.64,94.03,97.54,107.9,93.91,104.31,91.78,95.64,98.16,95.91,93.1,95.84,96.01,93.74,112.48,106.27,96.24,87.17,101.61,92.31,96.69,80.32,95.26,101.54,94.7,94.15,91.67,98.66,96.5,92.15,97.9,94.7,98.49,74.85,91.57,96.59,91.16
05-1989,80.21,96.24,97.64,98.11,90.03,95,109.05,95.2,95.21,96.08,98.11,95.1,70.75,91.49,88.54,92,93.59,100.48,94.18,97.33,107.55,94.72,104.71,92.41,96.15,98.61,97.48,93.49,95.95,95.47,94,111.59,106.19,96.26,87.64,101.47,92.55,97.3,80.94,95.38,101.59,95.1,93.97,89.94,98.87,96.69,92.03,98.68,95.1,99.51,75.89,91.83,98.18,94.56
06-1989,81.59,96.83,98.22,98.84,91.92,95.85,109.17,95.55,96.1,96.7,98.59,95.8,72.78,92.15,89.17,92.77,94.24,100.21,94.94,98.16,108.29,95.25,105.15,93.25,96.63,98.77,98.06,94.19,96.65,96.32,94.37,112.51,106.38,96.86,88.46,101.93,93.33,97.87,81.79,96.2,102.53,95.8,94.96,91.98,99.03,97.54,92.91,99.1,95.8,99.99,77.07,92.48,97.46,94.06
07-1989,82.97,97.42,98.81,99.57,93.81,96.69,109.29,95.9,96.99,97.32,99.07,96.6,74.8,92.82,89.79,93.53,94.9,99.94,95.7,98.99,109.03,95.79,105.58,94.1,97.11,98.94,98.63,94.9,97.36,97.17,94.74,113.44,106.58,97.46,89.29,102.39,94.12,98.45,82.64,97.01,103.46,96.6,95.94,94.02,99.19,98.39,93.78,99.52,96.6,100.47,78.25,93.13,96.75,93.57
08-1989,84.35,98.01,99.39,100.3,95.71,97.54,109.4,96.26,97.88,97.94,99.55,97.4,76.83,93.48,90.41,94.29,95.55,99.66,96.46,99.82,109.77,96.33,106.02,94.95,97.59,99.1,99.2,95.6,98.07,98.02,95.12,114.36,106.77,98.06,90.11,102.85,94.91,99.02,83.5,97.83,104.4,97.4,96.93,96.06,99.35,99.23,94.66,99.94,97.4,100.95,79.43,93.78,96.03,93.08
09-1989,83.71,98.28,98.88,99.89,96.68,97.23,109.27,96.85,97.95,98.15,99.82,97.6,77.37,93.64,90.67,94.62,95.54,99.93,96.55,99.64,109.85,96.86,106.37,94.92,97.75,99.25,98.71,95.94,98.05,98.18,95.36,114.4,106.98,98.74,90.43,102.89,95.03,98.64,84.11,98.25,104.51,97.6,96.82,94.83,99.36,98.98,94.4,100.22,97.6,101.31,80.97,93.81,96.33,93
10-1989,83.08,98.56,98.38,99.48,97.65,96.93,109.14,97.44,98.01,98.36,100.09,97.8,77.92,93.8,90.93,94.94,95.52,100.19,96.65,99.46,109.92,97.39,106.71,94.88,97.9,99.4,98.21,96.28,98.04,98.34,95.61,114.43,107.18,99.43,90.76,102.94,95.15,98.25,84.73,98.67,104.62,97.8,96.71,93.59,99.38,98.73,94.14,100.51,97.8,101.68,82.51,93.85,96.64,92.93
11-1989,82.44,98.83,97.87,99.07,98.62,96.63,109.01,98.04,98.07,98.57,100.36,98,78.46,93.96,91.18,95.27,95.51,100.45,96.75,99.28,110,97.93,107.06,94.85,98.06,99.55,97.71,96.62,98.02,98.5,95.85,114.47,107.39,100.11,91.08,102.98,95.28,97.86,85.34,99.1,104.73,98,96.6,92.36,99.39,98.49,93.88,100.79,98,102.04,84.04,93.89,96.94,92.85
12-1989,80.66,98.41,98.17,99.13,98.98,96.76,108.54,99.35,98.64,98.76,100.25,98.2,80.6,94.45,91.64,95.61,95.77,100.34,96.82,99.04,109.53,98.35,106.6,95.39,98.1,99.6,98.5,95.76,98.11,98.39,95.99,113.73,106.9,99.14,91.76,103.05,95.67,97.77,86.36,99.07,104.34,98.2,96.99,92.64,99.5,98.35,94.29,100.72,98.2,101.56,86.19,94.45,97.48,95.25
01-1990,78.88,97.99,98.46,99.19,99.35,96.9,108.08,100.65,99.21,98.94,100.13,98.4,82.75,94.93,92.11,95.95,96.02,100.22,96.89,98.81,109.06,98.78,106.13,95.93,98.13,99.66,99.29,94.89,98.21,98.28,96.13,112.99,106.42,98.16,92.43,103.12,96.07,97.67,87.38,99.05,103.95,98.4,97.38,92.91,99.61,98.21,94.69,100.65,98.4,101.07,88.35,95.02,98.03,97.66
02-1990,77.09,97.56,98.75,99.25,99.71,97.04,107.61,101.96,99.78,99.13,100.02,98.6,84.89,95.41,92.57,96.29,96.28,100.1,96.96,98.58,108.59,99.21,105.67,96.47,98.16,99.71,100.08,94.02,98.3,98.18,96.26,112.25,105.94,97.18,93.11,103.19,96.47,97.58,88.4,99.03,103.55,98.6,97.78,93.18,99.71,98.07,95.1,100.58,98.6,100.59,90.5,95.58,98.57,100.06
03-1990,81.6,97.96,98.74,98.92,99.75,97.27,106.28,101.73,99.59,98.93,99.6,98.7,86.55,95.78,93.84,96.63,96.58,100.05,97.26,99,107.42,99.27,105,97.01,98.1,99.64,99.09,95.07,98.35,98.01,96.89,110.42,105.09,97.48,93.42,102.68,96.71,98.04,90.02,99.1,102.8,98.7,98.05,94.82,99.66,98.4,95.45,100.67,98.7,100.97,92.31,96.07,97.89,97.92
04-1990,86.11,98.35,98.72,98.59,99.78,97.51,104.94,101.5,99.4,98.72,99.18,98.8,88.21,96.15,95.11,96.97,96.88,100,97.56,99.42,106.24,99.32,104.33,97.56,98.05,99.56,98.11,96.12,98.4,97.84,97.52,108.59,104.24,97.77,93.74,102.18,96.95,98.51,91.64,99.17,102.05,98.8,98.32,96.45,99.61,98.72,95.8,100.75,98.8,101.34,94.11,96.56,97.22,95.79
05-1990,90.62,98.75,98.7,98.27,99.81,97.75,103.6,101.27,99.21,98.52,98.75,98.9,89.87,96.52,96.38,97.32,97.19,99.95,97.86,99.84,105.06,99.38,103.67,98.1,97.99,99.49,97.12,97.17,98.46,97.67,98.15,106.77,103.39,98.06,94.05,101.67,97.19,98.98,93.26,99.24,101.3,98.9,98.59,98.09,99.56,99.05,96.16,100.84,98.9,101.72,95.92,97.05,96.54,93.65
06-1990,93.56,98.88,99.04,98.71,100.21,98.03,103.51,100.14,98.88,98.81,99.14,99.2,91.26,97.02,97.15,97.77,97.51,99.95,98.18,99.9,104.59,99.63,102.88,98.28,98.24,99.62,97.88,98.87,98.85,98.37,98.53,106.25,103.02,98.47,95.04,101.57,97.76,98.84,94.41,99.35,101.63,99.2,98.94,98.24,99.54,99.29,96.56,100.76,99.2,101.16,96.28,97.53,98.42,96.78
07-1990,96.51,99,99.37,99.16,100.62,98.32,103.41,99.01,98.56,99.1,99.54,99.5,92.65,97.51,97.92,98.22,97.83,99.96,98.49,99.96,104.11,99.88,102.1,98.46,98.5,99.75,98.64,100.57,99.24,99.08,98.9,105.73,102.66,98.88,96.03,101.46,98.33,98.71,95.55,99.46,101.96,99.5,99.28,98.39,99.52,99.54,96.96,100.67,99.5,100.6,96.65,98.02,100.29,99.9
08-1990,99.45,99.13,99.7,99.61,101.02,98.61,103.32,97.87,98.24,99.39,99.93,99.7,94.04,98.01,98.68,98.68,98.15,99.97,98.81,100.03,103.64,100.13,101.31,98.65,98.75,99.88,99.39,102.27,99.63,99.78,99.28,105.21,102.3,99.29,97.02,101.36,98.89,98.57,96.69,99.57,102.29,99.7,99.62,98.54,99.5,99.79,97.35,100.59,99.7,100.04,97.01,98.5,102.16,103.02
09-1990,97.8,99.12,99.37,99.05,100.67,98.64,102.1,98.29,98.19,99.12,99.51,99.5,95.33,98.2,98.17,98.66,98.19,99.8,98.52,100.27,102.69,99.8,102.02,98.67,98.6,99.42,98.7,102.03,99.52,99.11,99.19,103.74,101.61,99.31,97.24,100.89,98.84,98.39,97.19,99.37,101.28,99.5,99.25,98.02,99.29,99.35,97.09,100.08,99.5,100.63,97.2,98.47,101.11,101.86
10-1990,96.15,99.11,99.05,98.49,100.31,98.67,100.88,98.72,98.13,98.84,99.09,99.2,96.63,98.39,97.66,98.65,98.23,99.63,98.23,100.51,101.74,99.47,102.72,98.7,98.46,98.96,98,101.79,99.41,98.43,99.1,102.28,100.92,99.32,97.46,100.41,98.8,98.21,97.69,99.18,100.26,99.2,98.89,97.5,99.07,98.91,96.82,99.57,99.2,101.23,97.38,98.45,100.06,100.7
11-1990,94.5,99.1,98.72,97.93,99.96,98.7,99.66,99.14,98.08,98.57,98.67,99,97.92,98.57,97.15,98.64,98.26,99.46,97.95,100.76,100.8,99.14,103.43,98.73,98.31,98.5,97.3,101.56,99.3,97.76,99.02,100.82,100.23,99.34,97.68,99.94,98.75,98.03,98.19,98.99,99.24,99,98.52,96.97,98.86,98.47,96.56,99.06,99,101.82,97.57,98.43,99.01,99.54
12-1990,96.58,99.36,99.2,98.68,99.99,99.16,99.9,99.37,98.82,99.09,99.16,99.3,98.9,99.06,98.16,99.12,98.89,99.67,98.7,100.34,100.55,99.4,102.11,99.12,98.99,99.02,98.39,100.73,99.54,98.54,99.3,100.59,100.2,99.5,98.51,100,99.15,98.75,98.76,99.37,99.66,99.3,99.05,97.96,99.26,99.02,97.8,99.42,99.3,101.18,98.4,98.94,99.33,99.52
01-1991,98.66,99.61,99.69,99.43,100.02,99.61,100.15,99.61,99.56,99.6,99.65,99.7,99.87,99.54,99.17,99.6,99.53,99.88,99.46,99.92,100.31,99.65,100.8,99.51,99.67,99.55,99.47,99.9,99.78,99.31,99.59,100.36,100.17,99.66,99.34,100.05,99.54,99.48,99.33,99.75,100.08,99.7,99.58,98.95,99.67,99.57,99.03,99.77,99.7,100.53,99.24,99.46,99.66,99.5
02-1991,100.74,99.87,100.17,100.18,100.06,100.06,100.4,99.85,100.3,100.12,100.14,100.1,100.85,100.02,100.18,100.08,100.16,100.09,100.22,99.5,100.07,99.9,99.48,99.89,100.36,100.07,100.55,99.07,100.02,100.09,99.87,100.13,100.14,99.82,100.16,100.11,99.94,100.2,99.89,100.14,100.5,100.1,100.11,99.94,100.08,100.12,100.27,100.13,100.1,99.89,100.07,99.97,99.98,99.47
03-1991,100.6,100.52,100.15,100.39,99.92,100.33,99.45,100.54,100.14,100.28,100.21,100.2,99.28,100.44,100.65,100.32,100.32,100.04,100.32,100.59,99.62,100.45,99.72,100.6,99.97,100.38,99.98,101.02,100.21,100.6,100.54,99.51,99.69,100.52,100.5,99.84,100.52,100.32,100.78,100.11,99.42,100.2,100.3,101.11,100.25,100.31,100.7,100.1,100.2,99.58,100.69,100.57,100.37,101.03
04-1991,100.46,101.17,100.12,100.59,99.79,100.6,98.5,101.22,99.97,100.45,100.29,100.4,97.72,100.87,101.13,100.57,100.47,99.98,100.42,101.68,99.17,100.99,99.95,101.3,99.58,100.69,99.42,102.97,100.4,101.12,101.21,98.88,99.23,101.23,100.84,99.57,101.1,100.44,101.67,100.09,98.33,100.4,100.49,102.29,100.43,100.5,101.12,100.06,100.4,99.27,101.32,101.17,100.76,102.59
05-1991,100.32,101.81,100.1,100.8,99.65,100.87,97.55,101.91,99.8,100.61,100.37,100.6,96.16,101.29,101.6,100.82,100.63,99.93,100.52,102.77,98.72,101.53,100.19,102,99.19,101,98.86,104.92,100.59,101.64,101.89,98.25,98.78,101.93,101.18,99.31,101.68,100.56,102.56,100.06,97.25,100.6,100.68,103.46,100.61,100.69,101.55,100.03,100.6,98.95,101.94,101.76,101.16,104.15
06-1991,100.9,102.15,100.68,100.08,99.6,101.35,97.41,100.86,99.78,100.44,100.24,100.6,97.72,101.74,102.28,101.19,100.72,99.85,100.29,103.32,98.19,101.11,100.46,102.01,99.47,101.12,98.72,105.67,100.33,100.7,102.06,98,98.87,101.55,100.98,99.59,101.74,100.85,103.21,100.15,96.62,100.6,101.14,103.38,100.64,100.81,101.79,99.76,100.6,98.57,101.87,102.44,100.66,104.72
07-1991,101.47,102.48,101.26,99.35,99.55,101.84,97.26,99.8,99.76,100.26,100.11,100.7,99.27,102.19,102.95,101.56,100.81,99.76,100.05,103.87,97.66,100.69,100.74,102.01,99.75,101.24,98.59,106.42,100.07,99.76,102.24,97.76,98.96,101.17,100.79,99.88,101.81,101.14,103.86,100.25,95.98,100.7,101.59,103.29,100.68,100.93,102.03,99.5,100.7,98.18,101.81,103.11,100.16,105.28
08-1991,102.05,102.82,101.83,98.63,99.5,102.32,97.12,98.74,99.74,100.09,99.98,100.7,100.82,102.64,103.63,101.93,100.9,99.68,99.82,104.42,97.13,100.27,101.02,102.02,100.03,101.36,98.45,107.17,99.82,98.82,102.41,97.51,99.06,100.78,100.6,100.16,101.87,101.43,104.51,100.34,95.34,100.7,102.05,103.21,100.71,101.05,102.27,99.24,100.7,97.8,101.74,103.78,99.66,105.85
09-1991,102.03,103.01,102.22,99.92,99.6,102.53,96.86,98.4,100.24,100.34,100.42,101,99.79,102.84,104.58,102.16,101.14,100.05,100.25,104.51,97.47,100.94,100.37,102.12,100.1,101.66,99.07,108.62,100.53,99.6,102.1,96.7,99.16,101.65,101.16,100.2,102.18,101.77,104.74,100.74,95.9,101,102.15,102.47,101.13,100.75,102.92,99.79,101,97.63,102.51,103.76,100.75,105.82
10-1991,102.02,103.19,102.61,101.22,99.7,102.74,96.59,98.05,100.74,100.6,100.85,101.2,98.75,103.04,105.53,102.38,101.39,100.42,100.69,104.6,97.8,101.6,99.73,102.21,100.18,101.96,99.68,110.06,101.24,100.38,101.79,95.89,99.26,102.51,101.73,100.24,102.49,102.11,104.98,101.13,96.45,101.2,102.26,101.73,101.56,100.46,103.57,100.35,101.2,97.47,103.27,103.73,101.83,105.79
11-1991,102,103.38,103,102.52,99.8,102.95,96.33,97.7,101.24,100.85,101.29,101.5,97.71,103.24,106.47,102.61,101.63,100.78,101.12,104.69,98.14,102.27,99.09,102.3,100.25,102.25,100.3,111.51,101.96,101.17,101.48,95.09,99.37,103.37,102.29,100.27,102.8,102.45,105.21,101.53,97,101.5,102.37,100.99,101.98,100.17,104.22,100.9,101.5,97.3,104.03,103.71,102.92,105.77
